plastic_strain,subcycling_stress,trapezoid_stress,relative_difference_percent
2.913109000000000098e-04,1.159090000000000000e+08,1.051105051070840210e+08,1.027346874788084641e+01
2.951165999999999859e-04,1.164411000000000000e+08,1.051217905436573327e+08,1.076780503623721152e+01
2.974129000000000269e-04,1.166679225390671492e+08,1.051286000000000000e+08,1.097638752829120712e+01
3.009975000000000129e-04,1.170220000000000000e+08,1.052769119932938218e+08,1.115637587038489897e+01
3.024231999999999745e-04,1.173010667118532658e+08,1.053359000000000000e+08,1.135905869874683383e+01
3.058661999999999753e-04,1.179750000000000000e+08,1.055366075323623270e+08,1.178585588306265741e+01
3.083483000000000035e-04,1.183704595420752913e+08,1.056813000000000000e+08,1.200700553652849756e+01
3.109238000000000062e-04,1.187808000000000000e+08,1.056914856450635940e+08,1.238445488304833297e+01
3.139616999999999929e-04,1.193420769382133037e+08,1.057035000000000000e+08,1.290267298454006095e+01
3.152434999999999981e-04,1.195789000000000000e+08,1.058238961737842560e+08,1.299801304199501928e+01
3.194510999999999813e-04,1.203785000000000000e+08,1.062191052085904777e+08,1.333036534586094568e+01
3.196330999999999738e-04,1.204120233384686112e+08,1.062362000000000000e+08,1.334368448652023531e+01
3.231509999999999830e-04,1.210600000000000000e+08,1.062634066606955230e+08,1.392444850422568692e+01
3.254387999999999986e-04,1.212683173873429298e+08,1.062811000000000000e+08,1.410148877584342841e+01
3.283827000000000230e-04,1.215363764644470662e+08,1.065771000000000000e+08,1.403610762954430946e+01
3.284192000000000014e-04,1.215397000000000000e+08,1.065833283904619962e+08,1.403256197324424193e+01
3.324086999999999875e-04,1.215493154526733309e+08,1.072641000000000000e+08,1.331779733636261298e+01
3.349747000000000033e-04,1.215555000000000000e+08,1.075390559438470751e+08,1.303381727980929483e+01
3.350871000000000058e-04,1.215653618899521530e+08,1.075511000000000000e+08,1.303032873671413405e+01
3.386338000000000239e-04,1.218765466327751279e+08,1.079769000000000000e+08,1.287279652664146390e+01
3.399906999999999973e-04,1.219956000000000000e+08,1.082335385396664888e+08,1.271515432833220594e+01
3.406128000000000129e-04,1.220173478735248297e+08,1.083512000000000000e+08,1.261282558340362492e+01
3.426010999999999748e-04,1.220868564684925377e+08,1.087582000000000000e+08,1.225531175441717302e+01
3.449308000000000213e-04,1.221683000000000000e+08,1.090755603368256688e+08,1.200336686123262631e+01
3.469535000000000045e-04,1.222601974208967090e+08,1.093511000000000000e+08,1.180518295737007683e+01
3.489477000000000269e-04,1.223508000000000000e+08,1.096681651277395934e+08,1.156455463396136096e+01
3.508089999999999950e-04,1.224705773053391427e+08,1.099641000000000000e+08,1.137323663390064787e+01
3.534915000000000019e-04,1.226432000000000000e+08,1.102330122234270871e+08,1.125814084751596766e+01
3.551432999999999782e-04,1.227973721844867766e+08,1.103986000000000000e+08,1.123091432725304095e+01
3.577020999999999781e-04,1.230362000000000000e+08,1.107060062511437237e+08,1.113778210089562393e+01
3.606079000000000207e-04,1.232807658252427280e+08,1.110551000000000000e+08,1.100864870252939909e+01
3.621825999999999973e-04,1.234133000000000000e+08,1.113129368095903546e+08,1.087058120756285540e+01
3.646869999999999864e-04,1.233897623072565943e+08,1.117230000000000000e+08,1.044257879510628406e+01
3.669492999999999800e-04,1.233685000000000000e+08,1.121000275898959786e+08,1.005215846273323699e+01
3.680520000000000059e-04,1.233537054819152057e+08,1.122838000000000000e+08,9.858862526842880669e+00
3.712871999999999982e-04,1.233103000000000000e+08,1.126353295253937095e+08,9.477461929207221303e+00
3.717793000000000269e-04,1.233277686567164212e+08,1.126888000000000000e+08,9.441016903824001716e+00
3.737661999999999994e-04,1.233983000000000000e+08,1.129532097723135352e+08,9.247271723168601909e+00
3.755696000000000099e-04,1.234033613297694623e+08,1.131932000000000000e+08,9.020118991043156953e+00
3.767592000000000163e-04,1.234067000000000000e+08,1.132103530508634448e+08,9.006549908518978853e+00
3.808681000000000067e-04,1.234873447316237837e+08,1.132696000000000000e+08,9.020729950157663879e+00
3.811970000000000029e-04,1.234938000000000000e+08,1.132661085401891321e+08,9.029789750551794114e+00
3.850130000000000219e-04,1.237567000000000000e+08,1.132255995385524631e+08,9.300988914491705728e+00
3.852673000000000035e-04,1.237333215939464718e+08,1.132229000000000000e+08,9.282946819014945561e+00
3.941818000000000145e-04,1.229137903286526352e+08,1.122992000000000000e+08,9.452062284194932218e+00
3.956381999999999824e-04,1.227799000000000000e+08,1.123425075242238492e+08,9.290688543270753996e+00
3.982273999999999948e-04,1.228416138614828587e+08,1.124195000000000000e+08,9.270734936094591205e+00
