time,subcycling_plastic_strain,trapezoid_plastic_strain,relative_difference_percent
1.447894999999999967e-05,2.171808457738173056e-04,2.389950999999999914e-04,9.127490156150768641e+00
1.454715000000000013e-05,2.197381000000000095e-04,2.412984099041533780e-04,8.935123075497008571e+00
1.465109999999999937e-05,2.229639947368420910e-04,2.448091000000000004e-04,8.923322402295465139e+00
1.471130999999999993e-05,2.248325000000000128e-04,2.468356294526498785e-04,8.914081610276888057e+00
1.481223999999999966e-05,2.275523867410010734e-04,2.502326999999999937e-04,9.063688822044008830e+00
1.487633000000000060e-05,2.292794999999999924e-04,2.520742957359010179e-04,9.042887799945773963e+00
1.495763999999999999e-05,2.320649022920542024e-04,2.544107000000000204e-04,8.783356088382216598e+00
1.502684999999999996e-05,2.344357999999999891e-04,2.563552919808666166e-04,8.550434754630543921e+00
1.506425999999999966e-05,2.355576047104731099e-04,2.574063999999999823e-04,8.488054411050725889e+00
1.517036000000000022e-05,2.387392000000000062e-04,2.631968796234116989e-04,9.292541635906291120e+00
1.521615000000000000e-05,2.399222782905851810e-04,2.656959000000000187e-04,9.700421312265200768e+00
1.530057999999999912e-05,2.421036999999999907e-04,2.687960697171024450e-04,9.930342264749313586e+00
1.535612999999999895e-05,2.439266619323501547e-04,2.708357999999999794e-04,9.935591257747249827e+00
1.547145999999999976e-05,2.477113999999999878e-04,2.758307415207910795e-04,1.019441899976604482e+01
1.551894000000000087e-05,2.492988586587249712e-04,2.778871000000000249e-04,1.028771804854383376e+01
1.565277999999999890e-05,2.537737000000000196e-04,2.821767212691363527e-04,1.006568548297997800e+01
1.569007999999999937e-05,2.548729015061338581e-04,2.833722000000000107e-04,1.005719632831525168e+01
1.581744000000000148e-05,2.586261000000000072e-04,2.899937244075100518e-04,1.081665628164804005e+01
1.582004000000000041e-05,2.587226909992560993e-04,2.901288999999999930e-04,1.082491575321999733e+01
1.596768999999999890e-05,2.642079452454748015e-04,2.974129000000000269e-04,1.116459802332892082e+01
1.597876000000000081e-05,2.646192000000000227e-04,2.978751001750000937e-04,1.116437733649519615e+01
1.608769000000000114e-05,2.678607555332684085e-04,3.024231999999999745e-04,1.142850299405983705e+01
1.615324999999999988e-05,2.698116999999999768e-04,3.049875620015843206e-04,1.153353985019284700e+01
1.623916999999999990e-05,2.723460684311346984e-04,3.083483000000000035e-04,1.167583267651071921e+01
1.630985999999999837e-05,2.744312000000000162e-04,3.118154144255132296e-04,1.198921307158263971e+01
1.635362000000000014e-05,2.759399712223569888e-04,3.139616999999999929e-04,1.211030796993486902e+01
1.648305000000000137e-05,2.804025000000000246e-04,3.184340652105039152e-04,1.194330926415261374e+01
