time,subcycling_density,trapezoid_density,relative_difference_percent
8.176810000000000068e-04,1.994665685459563672e+13,1.994524000000000000e+13,7.103722971680053073e-03
8.241522999999999731e-04,1.994159000000000000e+13,1.995816414819598438e+13,8.304445275084336442e-02
8.258876999999999972e-04,1.994423461211702734e+13,1.996163000000000000e+13,8.714412541948055035e-02
8.319051000000000050e-04,1.995340465300270703e+13,1.996896000000000000e+13,7.789763211150188549e-02
8.335687999999999735e-04,1.995594000000000000e+13,1.997289716340409766e+13,8.490086974045955859e-02
8.362575000000000347e-04,1.996011671907168359e+13,1.997926000000000000e+13,9.581576559049938269e-02
8.383775000000000211e-04,1.996341000000000000e+13,1.998272327436051953e+13,9.664986145957420172e-02
8.435603000000000285e-04,1.997740567255434766e+13,1.999119000000000000e+13,6.895201058892613810e-02
8.436767000000000398e-04,1.997772000000000000e+13,1.999149270048249609e+13,6.889280699966786325e-02
8.476017999999999660e-04,1.999059181799549219e+13,2.000170000000000000e+13,5.553618944643611693e-02
8.500193999999999545e-04,1.999852000000000000e+13,2.000817339307477344e+13,4.824724818765649403e-02
8.531813999999999761e-04,2.000273303837118359e+13,2.001664000000000000e+13,6.947700327735527315e-02
8.569402000000000052e-04,2.000774125109401562e+13,2.002289000000000000e+13,7.565715491612037824e-02
8.587030000000000487e-04,2.001009000000000000e+13,2.002636422627978516e+13,8.126400826381231790e-02
8.608725000000000014e-04,2.001360822041563281e+13,2.003064000000000000e+13,8.502863405446450806e-02
8.680470000000000460e-04,2.002524291613905469e+13,2.003942000000000000e+13,7.074597898015666519e-02
8.681007000000000350e-04,2.002533000000000000e+13,2.003952327684615625e+13,7.082641962124562596e-02
8.748272999999999987e-04,2.004170828255096875e+13,2.005246000000000000e+13,5.361794736920682397e-02
8.769882999999999802e-04,2.004697000000000000e+13,2.004735429245135547e+13,1.916923528907605060e-03
8.812311000000000406e-04,2.005839609654629297e+13,2.003733000000000000e+13,1.051342496544847432e-01
8.851128999999999464e-04,2.006885000000000000e+13,2.003938479431337109e+13,1.470364783603053671e-01
8.898267000000000503e-04,2.008268815326991406e+13,2.004188000000000000e+13,2.036143978005759136e-01
8.931758000000000145e-04,2.009252000000000000e+13,2.004603355041408984e+13,2.318984923825486155e-01
8.970836000000000044e-04,2.010508016157186328e+13,2.005088000000000000e+13,2.703131312534077235e-01
9.001076999999999472e-04,2.011480000000000000e+13,2.005926275111773438e+13,2.768658528049391943e-01
9.031226000000000054e-04,2.012106896418199609e+13,2.006762000000000000e+13,2.663443107951819488e-01
9.076486000000000363e-04,2.013048000000000000e+13,2.007220813601301953e+13,2.903111784818066532e-01
9.087750000000000125e-04,2.012925315527894141e+13,2.007335000000000000e+13,2.784943981893476250e-01
9.142682999999999756e-04,2.012327000000000000e+13,2.009088105421103516e+13,1.612121723361462089e-01
9.149730000000000233e-04,2.012499132127270312e+13,2.009313000000000000e+13,1.585682333847594772e-01
9.206311000000000225e-04,2.013881196536674609e+13,2.011285000000000000e+13,1.290814845571169323e-01
9.213713000000000328e-04,2.014062000000000000e+13,2.011042122705406641e+13,1.501647956797041716e-01
9.248093999999999889e-04,2.014510065995933984e+13,2.009914000000000000e+13,2.286697836790023974e-01
9.271261999999999733e-04,2.014812000000000000e+13,2.007134969269967969e+13,3.824870199349029720e-01
9.293228999999999856e-04,2.015391405849079688e+13,2.004500000000000000e+13,5.433477599939978697e-01
9.320055999999999523e-04,2.016099000000000000e+13,2.004262490140052344e+13,5.905668503091405785e-01
9.339425999999999848e-04,2.016701152504125781e+13,2.004091000000000000e+13,6.292205545619325990e-01
9.379437999999999491e-04,2.017945000000000000e+13,2.002988454574804688e+13,7.467115145389240372e-01
9.401373999999999885e-04,2.018698977140053906e+13,2.002384000000000000e+13,8.147776420533676678e-01
9.440593000000000162e-04,2.020047000000000000e+13,2.002528511714273438e+13,8.748184199749436951e-01
9.470306999999999857e-04,2.021288382781457031e+13,2.002638000000000000e+13,9.312907665517696776e-01
9.503257999999999671e-04,2.022665000000000000e+13,2.003046942805855469e+13,9.794107554296096474e-01
9.534928999999999931e-04,2.023090010540767969e+13,2.003440000000000000e+13,9.808135277706329092e-01
9.548415999999999891e-04,2.023271000000000000e+13,2.003636498589148828e+13,9.799432893479786966e-01
9.588980999999999460e-04,2.026123000000000000e+13,2.004227509582611719e+13,1.092465317071119379e+00
9.606516999999999964e-04,2.026924524546553906e+13,2.004483000000000000e+13,1.119566718528114624e+00
